,blueTops,btmp,btwr,btt,blueJngs,bjmp,bjwr,bjt,blueMids,bmmp,bmwr,bmt,blueBots,bbmp,bbwr,bbt,blueSups,bsmp,bswr,bst,redTops,rtmp,rtwr,rtt,redJngs,rjmp,rjwr,rjt,redMids,rmmp,rmwr,rmt,redBots,rbmp,rbwr,rbt,redSups,rsmp,rswr,rst,winner
0,Sejuani,27084,50,113,Kayn,3679,41,152,Ekko,160446,48,713,Tristana,224952,52,376,Heimerdinger,3027921,50,1263,Darius,6052,37,115,Kindred,11159,38,142,Vladimir,392601,58,178,Seraphine,82212,51,1183,Rakan,605177,54,493,1
1,Trundle,210515,55,238,Kayn,117415,55,78,Ryze,51907,55,262,Twitch,48371,47,32,Yuumi,156406,56,272,Darius,6052,37,115,RekSai,60183,49,472,Yasuo,1013325,38,37,Samira,627160,50,1444,Taliyah,472686,49,178,1
2,Riven,1327365,48,399,Zac,65092,54,362,Brand,23384,48,200,Veigar,1240007,50,214,Lux,150540,50,426,Kayle,12684,37,115,Kindred,391839,50,842,Ekko,85205,-1,-1,Caitlyn,781068,49,328,Bard,8171,50,426,1
3,Riven,51516,37,115,Volibear,51033,48,203,Ekko,65685,48,367,Vayne,108362,54,233,Soraka,535406,52,777,DrMundo,15986,58,38,Olaf,173764,59,295,Veigar,48227,51,925,Yasuo,61079,51,282,Braum,11342,-1,-1,0
4,Neeko,107319,52,400,Volibear,66131,53,547,Corki,30193,51,618,Caitlyn,164462,52,958,Senna,542177,53,480,Olaf,4241,37,115,MonkeyKing,17694,51,2137,Viktor,414470,52,1126,Jhin,70570,49,131,Janna,142690,52,89,1
5,Quinn,50921,52,383,Graves,15434,53,94,Samira,90236,63,123,Viktor,1105786,50,80,Lux,378757,51,543,Olaf,4241,37,115,Volibear,390687,51,925,Ahri,74902,47,149,Ezreal,51587,54,203,Senna,28496,50,100,1
6,Viktor,39996,46,285,Karthus,19053,47,492,Jax,101850,51,120,Caitlyn,146788,52,737,Xerath,85962,49,488,Kayle,12684,37,115,Hecarim,270327,53,139,Anivia,2988,48,399,Ashe,117083,51,587,Soraka,283691,50,1199,0
7,Kennen,22696,50,848,Belveth,41977,-1,-1,Yasuo,1473586,51,584,Seraphine,23683,50,851,Yuumi,503661,52,499,Olaf,4241,37,115,Lillia,4793,53,256,Corki,28337,52,298,Twitch,22895,53,59,Senna,81517,53,235,0
8,Olaf,4241,37,115,Belveth,23211,-1,-1,Katarina,955108,52,256,Caitlyn,301510,50,415,Thresh,794811,49,191,Mordekaiser,45049,-1,-1,Kayn,78262,-1,-1,Anivia,35117,49,655,Draven,178596,51,467,Seraphine,39421,55,351,1
9,Riven,51516,37,115,Graves,273017,50,149,Singed,348808,55,513,Twitch,143556,-1,-1,Karma,71165,57,81,Fiora,45314,49,257,Evelynn,22040,61,89,Anivia,3256,56,64,Vayne,8723,52,224,Braum,10391,50,146,0
10,Riven,51516,37,115,Kindred,108069,52,678,Vladimir,151865,53,341,Varus,124378,-1,-1,Yuumi,81871,50,554,Olaf,13804,48,226,Udyr,556713,52,675,Viktor,108862,52,91,Caitlyn,343731,51,402,Zilean,352364,47,512,0
11,Rumble,34469,56,351,Kayn,425897,51,346,Irelia,34738,50,570,Jhin,73654,54,363,Soraka,2305,52,288,Riven,51516,37,115,Diana,122311,50,574,Talon,1342143,49,848,Varus,59590,51,166,Zilean,103867,52,848,1
12,Singed,5416,-1,-1,Diana,202589,-1,-1,Draven,61306,-1,-1,Tristana,11149,57,159,Nami,23633,-1,-1,Irelia,2743,22,23,FiddleSticks,2058304,49,141,Kayle,12684,37,115,Kaisa,140685,46,79,Nautilus,137836,52,65,1
13,Riven,51516,37,115,Warwick,402990,51,576,Leona,526830,54,505,Jinx,65371,51,284,Lux,346524,52,411,Kayle,151219,48,363,Shaco,2234716,52,323,Anivia,32497,-1,-1,Ezreal,73621,53,830,Renata,19490,54,677,1
14,Riven,51516,37,115,RekSai,57051,50,467,Katarina,42265,50,589,Lucian,146166,-1,-1,Sona,7900,46,123,Olaf,23803,-1,-1,Viego,6555,53,314,Ezreal,2875,52,259,Cassiopeia,51472,47,155,Soraka,54124,50,1209,0
15,Riven,51516,37,115,Lillia,34314,52,659,Irelia,844911,54,525,Samira,74484,51,627,Zilean,25176,50,407,Swain,22236,-1,-1,Volibear,10060,51,446,Viktor,213510,51,435,Kaisa,4337,66,38,Ashe,19096,-1,-1,1
16,Kayle,12684,37,115,Viego,150854,58,212,Talon,35747,56,218,Draven,74224,54,326,Nautilus,5957,51,1060,Garen,495029,52,313,MasterYi,59791,56,209,Morgana,131759,-1,-1,Jinx,24151,53,311,Janna,2266346,48,782,0
17,Sett,23630,51,581,Ekko,39466,51,148,Vi,20957,53,124,KogMaw,1003,49,39,Yuumi,1284154,47,148,Riven,51516,37,115,MonkeyKing,6871,56,68,Viktor,382637,53,568,Draven,542882,54,210,Thresh,219874,52,110,1
18,Riven,51516,37,115,Olaf,30567,53,568,Ahri,25248,48,183,Ezreal,53531,-1,-1,Pyke,21204,51,756,Volibear,89860,52,557,Yone,725765,52,459,Veigar,87407,53,510,Senna,15012,51,835,Nautilus,12886,50,110,1
19,Riven,51516,37,115,Viego,14259,58,95,Viktor,382637,53,568,Swain,68374,52,389,Soraka,1921786,53,912,Garen,28348,57,40,Taliyah,217216,51,293,Gwen,13071,51,482,Ezreal,253929,50,591,Bard,393113,46,48,1
20,Olaf,4241,37,115,Diana,58921,-1,-1,Yasuo,2207856,46,409,Ashe,75308,40,50,Zyra,110388,40,50,Mordekaiser,26930,50,377,Hecarim,8319,45,69,Ahri,7333,57,23,Lucian,33115,57,76,Nami,2692,58,69,0
21,Jax,37884,48,522,Zac,7172,51,772,Corki,125187,52,485,Samira,3240,50,110,Blitzcrank,129243,51,490,Riven,51516,37,115,MonkeyKing,893,-1,-1,Anivia,3157255,50,915,Kaisa,68545,46,300,Soraka,49628,45,190,0
22,Irelia,1034715,52,305,MonkeyKing,60645,-1,-1,Taliyah,19106,54,92,MissFortune,31804,51,398,Rakan,38177,51,1125,Riven,51516,37,115,Garen,24525,50,931,Akali,215516,49,410,Aphelios,188251,50,434,Lux,1413097,47,325,1
23,Ornn,50187,49,808,Lillia,13447,51,769,Graves,419422,54,314,MissFortune,375234,50,476,Senna,49369,-1,-1,Kayle,12684,37,115,Viego,4726,-1,-1,Swain,33409,51,157,Kalista,243127,49,554,Xerath,43444,44,247,1
24,Vayne,120221,54,236,Shyvana,435153,-1,-1,Syndra,59633,-1,-1,Kaisa,192553,-1,-1,Karma,900705,54,241,Kayle,12684,37,115,Karthus,25578,38,146,Graves,1112168,-1,-1,Jinx,90845,53,1304,Janna,91124,60,421,1
25,Graves,419422,54,314,Taliyah,69510,52,730,Kayle,228326,49,368,Ezreal,14336,57,242,Yuumi,101043,53,593,Riven,51516,37,115,Diana,23365,-1,-1,Xerath,69269,51,345,Jhin,189090,51,887,Senna,15066,54,547,1
26,Riven,51516,37,115,Kindred,17227,-1,-1,Galio,3846,61,90,Tristana,7841,63,16,Taliyah,786,-1,-1,Kennen,1217,60,57,Leona,7430,-1,-1,Qiyana,1126,66,32,Lucian,140142,41,46,Nami,164652,43,47,1
27,Lucian,50105,49,347,Brand,5809,53,207,Qiyana,40288,50,268,MissFortune,8252,55,200,FiddleSticks,63714,49,185,Riven,51516,37,115,Thresh,7771,50,341,Vex,58217,51,664,Ashe,171987,50,642,Amumu,68501,65,149,0
28,Riven,51516,37,115,Lissandra,2792,51,409,Shyvana,24288,52,442,Twitch,152336,52,608,Nami,7983,52,514,Shen,184094,52,560,Khazix,518036,52,184,Kassadin,104097,52,281,Samira,28349,53,127,Zyra,16853,48,103,0
29,Riven,51516,37,115,Sylas,22576,52,61,Gragas,323032,52,738,Draven,95847,51,468,Lux,83838,49,138,Quinn,44909,49,196,JarvanIV,362,43,40,Ekko,1324321,50,567,Samira,2976,25,20,Renata,11616,48,103,1
30,Riven,51516,37,115,Talon,20683,50,120,Akali,1416,52,104,KogMaw,8596,48,220,Brand,7276,51,83,MonkeyKing,3274,56,78,Graves,166722,50,14,Yasuo,130170,-1,-1,Jhin,225234,51,1287,FiddleSticks,34043,56,282,0
31,Jax,8495,-1,-1,Graves,89437,51,756,Cassiopeia,745007,-1,-1,Lucian,183549,51,319,Heimerdinger,1337641,49,476,Riven,51516,37,115,RekSai,724269,49,267,Katarina,35998,49,271,Ezreal,204672,51,112,Karma,66894,48,498,1
32,Riven,51516,37,115,Talon,226108,53,331,Veigar,33382,51,215,Samira,51572,-1,-1,Thresh,1581109,51,689,LeeSin,15813,-1,-1,Vi,33094,58,177,Anivia,349576,55,234,Lucian,12337,55,380,Sona,53680,51,312,0
33,Riven,51516,37,115,Talon,226108,53,331,Taliyah,53006,50,485,Samira,236616,56,252,Sona,53680,51,312,Mordekaiser,321609,48,77,Nidalee,108481,51,276,Zed,199716,50,394,Jinx,99392,50,1428,Velkoz,523107,53,642,1
34,Sion,590913,49,500,Hecarim,116704,62,89,Irelia,25928,45,244,Twitch,372987,51,163,Bard,788016,52,405,Akshan,24829,53,699,Rengar,1251,53,205,Fizz,44089,51,298,Swain,219159,-1,-1,Lulu,190823,37,115,1
35,Swain,8296,51,239,Rengar,1251,53,205,Kayle,41121,54,79,Xayah,20305,-1,-1,Lulu,190823,37,115,Darius,339080,50,98,Graves,95164,49,535,Sylas,7346,79,33,Ezreal,26564,50,66,Yuumi,103867,50,228,0
36,Riven,51516,37,115,LeeSin,15748,56,192,Veigar,6609,52,644,Draven,247234,51,380,Lux,37671,52,524,Tryndamere,500984,50,732,Hecarim,228971,51,416,Lissandra,416786,49,253,Varus,2246671,51,617,Morgana,498803,56,68,0
37,Garen,93378,51,223,Talon,16463,51,346,Leblanc,8724,52,838,Draven,13337,53,623,Seraphine,16517,50,234,Riven,51516,37,115,Viego,249638,51,1235,Diana,54444,50,951,Kaisa,79363,50,1329,Lulu,54460,52,590,1
38,Riven,51516,37,115,Evelynn,84296,51,137,Neeko,516528,52,444,Samira,170073,53,516,Pyke,2733928,51,2366,Olaf,1010,55,141,Lillia,678947,51,885,Irelia,10190,53,192,Tristana,71307,51,449,Maokai,31310,51,1967,1
