,blueTops,btmp,btwr,btt,blueJngs,bjmp,bjwr,bjt,blueMids,bmmp,bmwr,bmt,blueBots,bbmp,bbwr,bbt,blueSups,bsmp,bswr,bst,redTops,rtmp,rtwr,rtt,redJngs,rjmp,rjwr,rjt,redMids,rmmp,rmwr,rmt,redBots,rbmp,rbwr,rbt,redSups,rsmp,rswr,rst,winner
190,Urgot,147252,50,281,Graves,8974,54,68,Ahri,38733,54,205,MissFortune,36474,52,151,Sona,12129,53,198,Viktor,231769,50,365,Vi,11347,52,218,Camille,104179,49,124,Sivir,38717,48,127,Renata,26040,46,210,1
191,Graves,3210,67,15,Ekko,79020,54,205,Yone,99778,49,550,Kaisa,75238,60,70,Karma,22797,53,198,MonkeyKing,198214,63,99,Khazix,49677,46,148,Lissandra,10514,51,204,Vayne,459676,51,1174,Lulu,14323,50,163,0
192,Graves,49407,-1,-1,Sion,49057,55,85,Ahri,38733,54,205,Senna,56164,54,175,Lux,43968,53,198,Yone,7327,54,94,Kayn,140625,48,248,Ekko,221214,49,550,Jhin,177976,60,70,Thresh,182716,-1,-1,1
193,Yasuo,7896,49,397,Kayn,4021,58,55,Corki,3517,48,63,Jinx,16044,45,60,Morgana,8784,50,273,Singed,7855,42,53,XinZhao,17520,-1,-1,Ahri,38733,54,205,Samira,128208,48,346,Nautilus,25645,53,198,1
194,Kennen,201817,47,121,Elise,285810,51,280,Zed,64187,50,391,Tristana,25332,-1,-1,Sona,36856,50,1350,Fizz,306627,50,135,FiddleSticks,13614,-1,-1,Akshan,16024,54,205,Jhin,15970,-1,-1,Lux,43968,53,198,1
195,Gnar,503342,58,19,Elise,285810,51,280,Malzahar,42376,50,391,Kalista,102203,-1,-1,Sona,36856,50,1350,Jayce,60435,-1,-1,Shyvana,6705,46,177,Ekko,79020,54,205,Caitlyn,120080,52,108,Lux,43968,53,198,1
196,Fiora,8404,-1,-1,LeeSin,33808,50,132,Ekko,79020,54,205,Cassiopeia,20892,48,25,Blitzcrank,125738,53,198,Teemo,7149,-1,-1,Amumu,21267,54,134,Talon,227758,-1,-1,Twitch,19486,-1,-1,Lulu,91796,57,143,1
197,Camille,55850,51,182,Ekko,79020,54,205,Qiyana,31258,-1,-1,Vayne,14316,71,66,Thresh,102920,53,198,Vi,35960,46,71,Rengar,103281,52,163,Annie,2232,44,77,Jinx,14603,46,85,Karma,439,50,192,1
198,Camille,55850,51,182,Ekko,79020,54,205,Qiyana,31258,-1,-1,Vayne,14316,71,66,Thresh,102920,53,198,Vi,35960,46,71,Rengar,103281,52,163,Annie,2232,44,77,Jinx,14603,46,85,Karma,439,50,192,1
199,Jayce,2358,-1,-1,Diana,112698,54,205,Irelia,221587,-1,-1,Vayne,16401,50,42,Thresh,102920,53,198,Sion,12480,49,445,Hecarim,47231,-1,-1,Akali,338350,-1,-1,Caitlyn,25547,71,66,Zyra,115016,49,581,0
200,Katarina,299843,54,205,Nidalee,22664,48,170,Karma,2172,61,44,Jhin,168397,50,165,Sion,23483,53,198,Jax,72646,58,26,Nocturne,23090,61,196,Syndra,14307,54,59,Draven,44505,55,73,Nautilus,9130,49,91,0
201,Tryndamere,33500,61,31,RekSai,6971,56,25,Katarina,299843,54,205,Jinx,37758,55,217,Karma,22797,53,198,Mordekaiser,9723,46,148,Khazix,96089,48,177,Zed,11497,50,164,Brand,9097,54,28,Nami,10351,52,29,1
202,Singed,2784,64,149,Ornn,1863,67,43,Akshan,16024,54,205,Ezreal,32974,58,60,Karma,22797,53,198,Fiora,9901,46,71,Graves,11246,63,41,Malzahar,27218,55,55,Caitlyn,6994,48,82,Pyke,4904,63,41,0
203,Darius,145993,46,194,Nunu,60713,54,277,Malzahar,52250,47,264,Jhin,180741,33,21,Leona,105955,31,32,Ahri,38733,54,205,Amumu,8349,55,163,Tryndamere,3527,53,198,Samira,11878,68,31,Brand,33069,59,63,0
204,Kayn,13522,62,52,Riven,18826,46,13,Corki,4991,47,354,Ezreal,17350,37,46,Nautilus,31954,48,23,Yorick,140199,42,99,Khazix,8751,50,38,Katarina,299843,54,205,Draven,20864,53,87,Thresh,216208,46,28,0
