,blueTops,btlevel,btmp,btwr,btcwr,btkda,btct,btt,blueJngs,bjlevel,bjmp,bjwr,bjcwr,bjkda,bjct,bjt,blueMids,bmlevel,bmmp,bmwr,bmcwr,bmkda,bmct,bmt,blueBots,bblevel,bbmp,bbwr,bbcwr,bbkda,bbct,bbt,blueSups,bslevel,bsmp,bswr,bscwr,bskda,bsct,bst,redTops,redJngs,redMids,redBots,redSups,winner
2687,Gangplank,452,23208,0.5,0.0,1.64,5.0,135.0,Graves,482,507511,0.51,0.48,2.59,115.0,1095.0,Yone,84,5335,0.61,0.0,0.0,0.0,49.0,Kaisa,213,82083,-1.0,0.0,0.0,0.0,-1.0,Sona,54,140778,0.45,0.0,2.26,3.0,11.0,Camille,LeeSin,Akshan,Vayne,Braum,0
2688,Hecarim,204,652046,0.52,0.54,2.27,133.0,549.0,Shyvana,188,718289,0.51,0.43,2.2,152.0,593.0,Cassiopeia,345,1363623,0.51,0.56,1.91,673.0,1043.0,Aphelios,37,67561,-1.0,0.0,0.0,0.0,-1.0,Yuumi,556,856743,0.51,0.54,5.62,548.0,1021.0,Camille,Kindred,Akshan,Vayne,Rell,0
2689,Akshan,50,5203,0.63,1.0,2.62,3.0,24.0,Talon,145,124778,-1.0,0.0,0.0,0.0,-1.0,Nasus,203,39142,0.5,0.6,2.61,5.0,165.0,Sivir,273,423563,-1.0,0.0,0.0,0.0,-1.0,Swain,195,14393,-1.0,0.0,0.0,0.0,-1.0,Camille,Zed,Syndra,Vayne,Lux,1
2690,Yone,384,37189,0.5,0.47,1.81,15.0,816.0,Shaco,99,355318,0.48,0.56,2.66,108.0,277.0,Ekko,95,138870,-1.0,0.0,0.0,0.0,-1.0,Ezreal,325,236827,0.52,0.5,4.0,20.0,288.0,Yuumi,236,38271,0.48,0.0,1.33,2.0,239.0,Camille,Kayn,Gangplank,Pyke,Zyra,0
2691,Akali,49,12232,0.63,0.0,0.0,0.0,24.0,JarvanIV,345,49718,0.52,0.0,1.25,1.0,86.0,Yasuo,270,609838,0.51,0.51,2.15,39.0,607.0,Jhin,338,705009,0.42,0.49,3.03,75.0,139.0,Bard,259,34203,0.47,0.5,2.95,6.0,97.0,Irelia,Teemo,Diana,Xayah,Leona,0
2692,Teemo,383,587915,0.48,0.41,1.45,71.0,560.0,Diana,330,663643,0.54,0.57,2.47,112.0,165.0,Fizz,57,80303,0.5,0.57,2.96,14.0,16.0,Jhin,59,7073,0.56,0.67,2.57,6.0,85.0,Yuumi,93,218822,0.45,0.33,3.24,15.0,11.0,Irelia,Talon,XinZhao,Kaisa,Galio,0
2693,Garen,218,239055,0.5,0.51,2.7,111.0,275.0,Ryze,63,21858,0.5,1.0,3.0,1.0,16.0,Karthus,33,16283,0.62,0.57,3.1,28.0,34.0,Samira,393,69560,0.41,0.54,2.71,28.0,66.0,Rell,388,87020,0.44,0.46,2.27,50.0,93.0,Vayne,XinZhao,Yasuo,Jinx,Brand,1
2694,Chogath,392,144350,0.51,0.67,1.91,6.0,87.0,Viego,62,2979,0.5,0.75,2.81,4.0,16.0,Akshan,31,4449,-1.0,0.0,0.0,0.0,-1.0,Jinx,32,3439,0.75,1.0,6.33,4.0,60.0,Maokai,41,26436,0.56,0.61,2.16,28.0,54.0,Darius,Volibear,Vladimir,Vayne,Lulu,1
2695,Ryze,225,18659,0.5,0.33,1.88,9.0,290.0,Viego,60,8847,0.47,0.33,3.0,15.0,145.0,Yasuo,62,3494,0.5,0.67,1.43,3.0,16.0,Kaisa,389,306796,-1.0,0.0,0.0,0.0,-1.0,Thresh,384,50270,0.46,0.0,2.77,2.0,100.0,Jax,RekSai,Corki,Jinx,Lulu,0
2696,Trundle,74,58310,0.51,0.37,2.03,41.0,474.0,RekSai,277,661191,-1.0,0.0,0.0,0.0,-1.0,Kassadin,41,49739,0.5,0.61,2.59,44.0,131.0,Jhin,318,570024,0.5,0.52,3.28,218.0,359.0,Janna,56,9687,0.43,0.17,2.0,6.0,76.0,Sion,Graves,Vex,Jinx,Sona,1
