,blueTops,btlevel,btmp,btwr,btcwr,btkda,btct,btt,blueJngs,bjlevel,bjmp,bjwr,bjcwr,bjkda,bjct,bjt,blueMids,bmlevel,bmmp,bmwr,bmcwr,bmkda,bmct,bmt,blueBots,bblevel,bbmp,bbwr,bbcwr,bbkda,bbct,bbt,blueSups,bslevel,bsmp,bswr,bscwr,bskda,bsct,bst,redTops,redJngs,redMids,redBots,redSups,winner
0,Urgot,259,303909,0.67,0.0,2.6,2.0,18.0,Elise,55,4142,0.4,0.5,2.5,2.0,15.0,Morgana,654,94777,0.63,0.0,2.0,1.0,35.0,Sivir,331,4991,0.53,0.44,1.53,9.0,855.0,Nami,228,372584,0.37,0.46,2.89,37.0,38.0,Sejuani,Khazix,Swain,Lucian,Soraka,0
1,Fiora,360,1479011,0.52,0.55,2.03,192.0,269.0,Belveth,804,34108,0.51,0.44,2.03,36.0,625.0,Lissandra,370,89791,0.52,0.51,3.08,61.0,690.0,Kaisa,446,84167,0.53,0.63,2.34,8.0,60.0,Zilean,596,737561,0.49,0.48,4.88,190.0,300.0,Darius,Elise,Sylas,Twitch,Renata,1
2,Fiora,85,74359,0.53,0.6,1.45,75.0,373.0,Sion,566,178952,0.5,0.49,2.05,33.0,385.0,Zeri,165,17938,0.51,0.52,2.57,27.0,541.0,Ziggs,433,43521,0.52,0.6,2.21,50.0,774.0,Janna,401,29808,0.52,0.52,3.82,21.0,376.0,Mordekaiser,Lillia,Zoe,Twitch,Yuumi,1
3,Singed,62,59243,0.59,0.65,4.41,81.0,193.0,Zac,334,1512,0.59,0.0,2.5,1.0,32.0,Zed,539,1298526,0.49,0.56,3.71,68.0,559.0,Lucian,110,20764,0.55,0.57,2.77,21.0,318.0,Alistar,112,4709,0.54,0.67,1.22,3.0,54.0,Gangplank,Nunu,Azir,Vayne,Pyke,1
4,Garen,421,984891,0.51,0.53,1.89,550.0,690.0,Kayn,267,128358,0.47,0.57,2.08,7.0,324.0,Zeri,48,5515,0.51,0.31,2.96,13.0,218.0,Lucian,44,13135,0.38,0.37,1.44,30.0,37.0,Karma,164,16636,0.52,0.6,2.81,5.0,426.0,DrMundo,Pantheon,Sylas,Aphelios,Zilean,0
5,Sett,394,44438,0.51,0.3,1.51,10.0,875.0,Mordekaiser,459,3414,0.51,0.5,2.29,2.0,857.0,Yone,503,65553,0.52,0.52,1.77,21.0,468.0,Zeri,140,23389,0.57,0.55,2.34,38.0,214.0,Renata,680,14851,0.53,0.56,2.53,16.0,332.0,Singed,Hecarim,Leblanc,Caitlyn,Bard,0
6,Yone,267,50610,0.5,0.37,1.83,35.0,919.0,Evelynn,321,907425,0.53,0.58,2.9,314.0,364.0,Ahri,395,250701,0.53,0.44,2.87,55.0,456.0,Twitch,293,77814,0.51,0.52,1.96,60.0,563.0,Renata,680,14851,0.53,0.56,2.53,16.0,332.0,MonkeyKing,Belveth,Sylas,Draven,Zoe,1
7,Illaoi,81,7739,0.57,0.73,2.3,11.0,160.0,MonkeyKing,43,2877,0.53,0.17,2.24,6.0,132.0,Kayle,569,64112,0.49,0.42,1.32,12.0,925.0,Yasuo,611,838745,0.47,0.5,3.01,90.0,168.0,Taric,164,37300,0.39,0.48,3.2,27.0,56.0,Kled,Vi,Swain,Aphelios,Renata,0
8,Irelia,84,15622,0.52,0.6,1.49,10.0,478.0,Ekko,367,1226297,0.51,0.52,3.33,879.0,997.0,Swain,719,20602,0.53,0.32,2.08,19.0,427.0,Jhin,109,142546,0.48,0.5,2.3,234.0,430.0,Renata,678,14851,0.53,0.56,2.53,16.0,332.0,Malphite,Karthus,Ziggs,Caitlyn,Yuumi,0
9,Ornn,401,27217,0.51,0.5,1.18,6.0,383.0,Nocturne,88,25895,0.58,0.61,3.35,18.0,244.0,Akali,542,68707,0.5,0.41,2.55,68.0,698.0,KogMaw,311,60965,0.53,0.59,3.08,22.0,374.0,Lulu,542,166008,0.5,0.53,3.84,40.0,957.0,Veigar,Trundle,Vladimir,Sivir,Renata,0
10,Ryze,139,164246,0.51,0.43,2.1,315.0,1051.0,Volibear,59,52044,0.54,0.55,3.32,31.0,156.0,Viktor,689,114116,0.51,0.62,2.19,81.0,606.0,Caitlyn,476,269638,0.51,0.52,3.11,187.0,1263.0,Taric,778,14575,-1.0,0.0,0.0,0.0,-1.0,Mordekaiser,LeeSin,Corki,Kaisa,Zilean,0
11,Jax,155,234306,0.52,0.57,1.57,92.0,172.0,Pantheon,77,33471,0.48,0.0,1.63,2.0,100.0,Zeri,61,190102,0.47,0.51,2.59,255.0,355.0,Ziggs,254,7221,0.55,0.33,2.28,3.0,91.0,Rakan,45,11441,0.51,0.4,4.05,20.0,134.0,Darius,Kindred,Sylas,Jhin,Zilean,0
12,Yorick,64,306266,0.54,0.54,2.27,329.0,342.0,Karthus,55,6689,0.53,0.5,2.77,12.0,368.0,Galio,366,137112,0.49,0.7,3.09,23.0,589.0,Kaisa,336,383069,0.51,0.5,3.22,140.0,828.0,Leona,252,576879,0.52,0.49,2.21,83.0,438.0,Viktor,MasterYi,Darius,Jinx,Renata,1
13,Teemo,221,51615,0.54,0.6,1.63,15.0,507.0,Hecarim,593,124894,0.58,0.63,3.33,132.0,209.0,Sylas,349,177387,0.52,0.56,1.81,16.0,417.0,Kindred,48,6475,0.49,0.67,2.23,6.0,181.0,Pyke,667,174449,0.53,0.59,2.01,34.0,332.0,Gwen,FiddleSticks,Zed,Ezreal,Shaco,0
14,Trundle,221,70895,0.49,0.51,1.84,100.0,217.0,MasterYi,545,579193,0.51,0.54,2.1,152.0,375.0,Gnar,172,796282,0.52,0.54,2.34,549.0,669.0,Zeri,454,249053,0.5,0.51,1.97,444.0,672.0,Blitzcrank,59,86223,0.49,0.5,2.8,139.0,241.0,Sion,Kindred,Heimerdinger,Jhin,Brand,1
15,Malphite,471,215580,0.53,0.56,2.04,25.0,376.0,Shyvana,495,59807,0.5,0.48,3.85,23.0,646.0,Heimerdinger,580,152111,-1.0,0.0,0.0,0.0,-1.0,Kalista,449,264405,0.51,0.6,3.09,15.0,339.0,Nautilus,71,1381,0.55,0.33,3.5,3.0,94.0,Lillia,Trundle,Viktor,Kaisa,Zilean,0
16,Gnar,389,31164,0.52,0.67,2.61,3.0,215.0,Elise,395,38405,0.48,0.5,3.11,6.0,289.0,Viktor,496,14654,0.5,0.44,2.73,25.0,949.0,Jinx,67,14081,0.51,0.52,1.99,23.0,254.0,Seraphine,184,13268,0.54,0.4,3.45,5.0,208.0,Kalista,Shaco,Akali,Swain,Renata,0
17,Jax,531,196608,0.52,0.5,1.44,12.0,161.0,LeeSin,500,257648,0.5,0.47,1.93,17.0,597.0,Kassadin,49,42944,0.52,0.5,2.95,76.0,228.0,Jhin,99,142546,0.48,0.5,2.3,234.0,430.0,Yuumi,226,89804,0.48,0.43,4.8,68.0,477.0,MonkeyKing,Twitch,Ahri,Garen,Renata,0
18,Mordekaiser,48,2538,0.51,0.25,0.85,4.0,211.0,Lillia,407,70378,0.5,0.46,2.88,121.0,2152.0,Katarina,482,40853,0.5,0.46,2.6,11.0,490.0,Ezreal,246,35128,-1.0,0.0,0.0,0.0,-1.0,Ashe,214,24749,0.53,0.54,2.41,24.0,438.0,Gwen,Belveth,Garen,Kaisa,Lux,0
19,Nautilus,93,3492,0.53,0.43,2.57,7.0,371.0,Belveth,644,142692,0.5,0.55,2.78,197.0,836.0,Sylas,232,64954,0.52,0.43,1.95,47.0,424.0,Jinx,558,479314,0.51,0.55,1.95,140.0,1107.0,Xerath,99,346642,0.48,0.48,1.4,109.0,430.0,Gragas,Rengar,Kennen,Lucian,Pyke,1
20,Singed,157,298477,0.49,0.5,2.14,111.0,303.0,Ivern,704,35315,0.5,0.39,3.17,13.0,856.0,Talon,343,1940633,0.51,0.52,2.15,674.0,707.0,Aphelios,402,521582,0.52,0.58,2.1,444.0,759.0,Thresh,666,48745,0.53,0.5,2.07,4.0,332.0,Darius,Khazix,Orianna,Jhin,Zilean,1
21,Aatrox,172,132117,0.53,0.59,2.24,135.0,731.0,Shyvana,579,118314,0.49,0.56,2.66,52.0,612.0,Zoe,592,176357,0.49,0.25,1.52,12.0,320.0,Yasuo,362,1052148,0.48,0.5,1.94,125.0,252.0,Yuumi,680,34125,0.5,0.67,5.93,9.0,788.0,Camille,JarvanIV,Lissandra,Jhin,Renata,0
22,Gangplank,355,59994,0.52,0.0,1.89,1.0,110.0,JarvanIV,313,6778,0.52,0.0,5.5,1.0,293.0,Vladimir,381,85163,0.49,0.49,2.12,74.0,508.0,Samira,216,33252,0.47,0.39,2.43,13.0,260.0,Nautilus,123,25897,0.49,0.41,1.93,22.0,625.0,Cassiopeia,Viego,Velkoz,MissFortune,Lux,0
23,Fiora,243,85868,-1.0,0.0,0.0,0.0,-1.0,Amumu,182,39473,0.51,0.72,3.02,18.0,310.0,Leblanc,352,50725,0.49,0.73,4.05,11.0,340.0,Ezreal,47,51284,0.5,0.65,2.74,63.0,255.0,Rakan,154,22831,0.51,0.59,3.51,32.0,773.0,DrMundo,Nunu,Pyke,Jhin,Lux,1
24,Akali,530,111204,0.54,0.63,2.48,27.0,247.0,Diana,262,72552,0.52,0.51,2.47,123.0,255.0,Ahri,114,32344,0.51,0.44,2.57,34.0,381.0,Jhin,597,1713214,0.5,0.53,3.41,349.0,419.0,Pantheon,665,44056,0.53,1.0,1.67,1.0,332.0,Pyke,Rengar,Taliyah,Ashe,Lux,1
25,Camille,627,1053398,0.51,0.51,2.56,279.0,345.0,Diana,169,39155,0.44,0.48,2.71,42.0,70.0,Azir,283,64603,0.52,0.58,2.29,79.0,492.0,Vayne,451,221038,0.52,0.5,2.27,16.0,742.0,Zyra,396,41449,0.51,0.49,1.64,49.0,398.0,Sion,Ekko,Yasuo,Kaisa,Swain,0
26,Olaf,84,1969,0.56,0.5,1.5,2.0,215.0,Diana,314,42360,0.51,0.46,2.83,74.0,1489.0,Zeri,74,141221,-1.0,0.0,0.0,0.0,-1.0,Tristana,231,38799,0.5,0.59,2.41,64.0,1326.0,Pyke,664,174449,0.53,0.59,2.01,34.0,332.0,Mordekaiser,Graves,Yone,Seraphine,Ashe,0
27,Vladimir,108,34503,0.54,0.51,2.35,61.0,306.0,Poppy,249,272930,0.51,0.54,3.43,63.0,104.0,Malzahar,48,199284,0.52,0.53,2.33,343.0,372.0,Jhin,432,579491,0.51,0.54,3.71,114.0,831.0,Pyke,664,174449,0.53,0.59,2.01,34.0,332.0,Jax,Volibear,Nasus,Kaisa,FiddleSticks,1
28,Garen,460,100794,0.49,0.37,2.73,19.0,541.0,Sejuani,360,23542,0.52,0.6,2.71,35.0,444.0,Evelynn,444,1428,0.5,1.0,5.0,1.0,92.0,Jhin,519,540271,0.49,0.55,3.48,337.0,822.0,Gragas,352,15868,0.55,1.0,1.73,1.0,62.0,Mordekaiser,Shaco,Zed,Jinx,Renata,1
29,Mordekaiser,600,11696,0.52,1.0,5.33,1.0,233.0,Poppy,69,22175,0.58,0.68,3.62,34.0,130.0,Lissandra,403,8900,0.51,0.56,1.93,9.0,633.0,Kaisa,471,599923,0.52,0.55,2.68,267.0,268.0,Pyke,663,174449,0.53,0.59,2.01,34.0,332.0,Teemo,Kayn,Orianna,Lucian,TahmKench,1
30,Ekko,460,939239,0.54,0.56,2.74,63.0,263.0,JarvanIV,196,39354,0.51,0.52,3.61,54.0,661.0,Vex,287,18336,0.5,0.5,2.74,32.0,626.0,Samira,470,28371,0.48,0.25,1.38,16.0,520.0,Taric,662,8862,0.53,0.0,0.8,1.0,332.0,Jax,Hecarim,Sylas,Kaisa,Senna,0
31,Mordekaiser,265,50532,0.5,0.57,1.47,23.0,521.0,MasterYi,332,1359273,-1.0,0.0,0.0,0.0,-1.0,Yone,50,49792,0.59,0.69,2.27,68.0,214.0,Kalista,435,58809,0.52,0.45,2.16,92.0,1010.0,Pantheon,369,43796,0.44,0.61,2.31,28.0,140.0,Darius,Belveth,Sylas,Samira,Thresh,1
32,Urgot,309,24139,0.52,0.73,1.53,15.0,471.0,Vi,62,5296,0.46,0.71,3.26,7.0,54.0,Kaisa,139,214557,0.53,0.51,2.88,128.0,142.0,Ashe,463,47685,0.49,0.56,2.7,52.0,519.0,Renata,436,201471,0.52,0.54,4.03,330.0,748.0,Singed,Belveth,Ahri,Jhin,Taric,1
33,Mordekaiser,545,115274,0.52,0.55,1.52,29.0,712.0,Diana,240,163885,0.5,0.58,2.71,268.0,1019.0,Anivia,413,205054,0.56,0.59,2.55,88.0,443.0,Draven,833,598267,0.52,0.55,2.36,633.0,1071.0,Pyke,334,33081,0.5,0.67,2.8,12.0,751.0,Riven,Belveth,Vladimir,Aphelios,Ashe,1
34,Rengar,417,954471,0.52,0.63,2.25,152.0,755.0,Nidalee,352,58052,0.48,0.2,2.36,10.0,130.0,Yone,641,333314,0.5,0.58,2.43,91.0,553.0,Sivir,498,60505,0.51,0.54,3.58,37.0,1102.0,Lux,753,103628,0.5,0.53,2.46,45.0,938.0,Volibear,Belveth,Talon,Zeri,Yuumi,1
35,Kled,589,436538,0.52,0.54,2.38,383.0,524.0,Belveth,92,13714,0.55,0.46,3.26,26.0,166.0,TwistedFate,512,1950657,0.49,0.5,2.47,430.0,891.0,Lucian,313,60858,0.52,0.73,3.41,44.0,199.0,Nami,217,382476,0.5,0.51,3.83,337.0,751.0,Aatrox,Rammus,Zoe,Jinx,Senna,1
36,Camille,44,69720,0.59,0.62,2.11,104.0,292.0,Belveth,92,13714,0.55,0.46,3.26,26.0,166.0,Cassiopeia,215,169864,0.53,0.51,2.27,83.0,310.0,Kalista,361,32694,0.52,0.44,2.82,16.0,426.0,Renata,502,49963,0.51,0.56,3.67,52.0,545.0,Renekton,Nunu,Vladimir,Zeri,Zilean,0
37,Sion,269,83007,0.54,0.53,1.34,40.0,227.0,Nunu,477,1402361,-1.0,0.0,0.0,0.0,-1.0,Braum,329,11637,0.51,0.67,3.12,9.0,423.0,Sivir,63,29927,0.62,0.64,3.86,11.0,110.0,Syndra,101,4039,0.67,1.0,3.0,1.0,67.0,Caitlyn,Belveth,TwistedFate,Aatrox,Senna,1
38,Fiora,150,10299,0.57,0.5,1.57,4.0,164.0,LeeSin,88,2570,0.49,0.4,2.41,5.0,356.0,Viktor,503,87705,0.45,0.52,1.93,25.0,217.0,Sivir,434,109017,0.55,0.64,3.0,102.0,282.0,Pyke,35,14955,0.58,0.0,0.89,1.0,117.0,Aatrox,Belveth,Vex,Seraphine,Senna,0
39,Rumble,526,764309,0.5,0.54,2.87,240.0,610.0,Belveth,92,13714,0.55,0.46,3.26,26.0,166.0,Akali,323,91805,0.48,0.51,2.69,89.0,750.0,Samira,84,13600,0.52,0.5,1.69,20.0,890.0,Thresh,135,10282,0.5,0.29,1.76,7.0,848.0,Jayce,MasterYi,Diana,Aphelios,Pyke,1
40,TahmKench,495,107297,0.52,0.67,3.51,46.0,604.0,Diana,211,37086,0.52,0.48,2.49,50.0,209.0,Anivia,336,38988,0.5,0.4,2.79,5.0,224.0,Jinx,559,15073,0.5,0.33,1.32,27.0,1175.0,Zilean,449,4937,0.52,0.71,10.27,7.0,529.0,Darius,Belveth,Akali,Vayne,Soraka,0
41,Aatrox,348,85014,0.54,0.61,2.29,33.0,111.0,Volibear,389,31886,0.52,0.57,3.59,23.0,459.0,Xerath,264,1070600,0.52,0.54,3.84,792.0,932.0,MissFortune,450,87773,0.54,0.68,3.19,37.0,263.0,Ashe,53,24110,0.52,0.67,2.79,21.0,224.0,Gangplank,Belveth,Ahri,Ezreal,Yuumi,1
42,Chogath,217,62200,0.46,0.33,1.81,3.0,197.0,Udyr,536,34107,0.51,0.44,2.87,36.0,418.0,Anivia,70,13474,0.54,0.68,2.98,19.0,362.0,MissFortune,450,87773,0.54,0.68,3.19,37.0,263.0,Nami,492,32897,0.51,0.56,3.24,9.0,633.0,Neeko,Warwick,Graves,Sivir,Lulu,0
43,Riven,278,601924,0.56,0.61,2.68,102.0,139.0,Viego,122,12084,0.54,0.44,3.36,9.0,110.0,Ahri,313,696641,0.5,0.42,4.15,24.0,143.0,Lucian,616,1733844,0.51,0.55,2.53,727.0,1018.0,Nami,713,279063,0.51,0.57,4.32,143.0,729.0,Katarina,Belveth,Ekko,Yasuo,Yuumi,0
44,Volibear,405,452173,0.62,0.63,1.99,46.0,47.0,Zac,220,202505,0.51,0.56,4.09,207.0,783.0,Xerath,329,192634,0.5,0.55,3.23,116.0,372.0,Ezreal,590,190453,-1.0,0.0,0.0,0.0,-1.0,Soraka,137,46658,0.47,0.38,3.09,8.0,148.0,Quinn,Belveth,Vladimir,Seraphine,Pyke,0
45,AurelionSol,364,66809,0.51,0.4,2.16,40.0,386.0,RekSai,165,51559,0.67,0.8,7.07,61.0,49.0,Syndra,240,65193,0.67,0.5,2.08,2.0,92.0,Jhin,543,1518051,0.52,0.56,3.33,250.0,446.0,Ashe,44,6297,0.51,0.46,2.03,11.0,163.0,Neeko,Belveth,Velkoz,Tristana,Renata,1
46,Gangplank,471,129450,0.53,0.51,1.94,74.0,503.0,Evelynn,180,108506,0.55,0.63,4.66,112.0,372.0,Yasuo,572,380995,-1.0,0.0,0.0,0.0,-1.0,Sivir,41,2325,0.54,0.5,2.23,4.0,99.0,Lux,654,844727,0.51,0.51,2.84,293.0,982.0,Warwick,Belveth,Lissandra,Jinx,Pyke,0
47,Jayce,94,66335,0.49,0.56,2.32,27.0,261.0,Trundle,364,55698,0.55,0.75,3.08,4.0,51.0,Sylas,558,133552,0.51,0.55,2.46,143.0,684.0,Sivir,456,62940,0.52,0.56,3.14,9.0,160.0,Renata,308,5148,0.5,0.67,2.35,3.0,244.0,Illaoi,FiddleSticks,Lissandra,Lucian,Nami,1
48,Mordekaiser,132,10860,0.48,0.25,1.27,4.0,182.0,Khazix,387,648200,0.48,0.56,3.02,254.0,323.0,Veigar,408,94592,0.54,0.5,2.16,10.0,484.0,Sivir,877,70466,-1.0,0.0,0.0,0.0,-1.0,Bard,422,330375,0.5,0.52,2.93,221.0,533.0,Darius,Belveth,Zilean,Twitch,Pyke,0
49,Camille,540,196401,0.53,0.55,2.31,66.0,286.0,Belveth,91,13714,0.55,0.46,3.26,26.0,166.0,Taliyah,182,170250,0.52,0.59,2.42,249.0,425.0,Ezreal,207,297150,0.5,0.51,3.1,275.0,455.0,Velkoz,238,1305073,0.51,0.52,2.09,558.0,587.0,Aatrox,Sejuani,Anivia,Xayah,Veigar,1
50,Varus,44,14716,0.52,0.38,1.42,29.0,215.0,MonkeyKing,513,265224,0.56,0.58,3.64,103.0,255.0,Akali,425,281257,0.58,0.6,3.63,195.0,229.0,Sivir,79,25693,0.46,0.61,3.45,41.0,78.0,Yuumi,539,28837,0.51,0.5,3.95,6.0,414.0,Darius,FiddleSticks,TwistedFate,Ezreal,Zilean,1
51,Kennen,40,2010,0.55,0.5,2.33,2.0,103.0,Kindred,123,2823,0.38,0.29,1.64,7.0,60.0,Akali,257,46638,0.5,0.44,2.37,23.0,128.0,Kalista,668,201933,0.51,0.35,2.71,17.0,545.0,Maokai,242,118130,-1.0,0.0,0.0,0.0,-1.0,Camille,FiddleSticks,Diana,Ezreal,Karma,0
52,Darius,422,70428,0.52,0.68,2.27,75.0,694.0,Rengar,91,35231,0.55,0.5,2.26,4.0,166.0,Velkoz,372,706765,0.53,0.56,4.24,178.0,240.0,Draven,325,24939,0.53,0.33,1.59,18.0,632.0,Karma,319,22842,0.5,0.43,2.72,7.0,719.0,Garen,Belveth,Swain,Sivir,Lux,1
53,Akali,737,649630,0.5,0.53,2.86,136.0,734.0,Trundle,642,271263,0.51,0.54,2.08,293.0,686.0,Azir,361,14183,0.5,0.5,1.77,4.0,972.0,KogMaw,580,341227,0.51,0.51,1.93,160.0,992.0,Renata,701,231850,0.52,0.51,2.92,402.0,1853.0,Vayne,Belveth,Veigar,Samira,Janna,1
54,Urgot,398,315973,0.54,0.53,2.05,49.0,191.0,Viego,91,48052,0.5,0.55,2.82,64.0,223.0,Veigar,228,28928,0.51,0.45,2.16,20.0,1224.0,Vayne,654,1208707,0.51,0.57,2.6,344.0,788.0,Zilean,487,89987,0.57,0.73,3.81,11.0,136.0,Fiora,Belveth,Leblanc,Ezreal,Karma,0
55,Jax,500,57272,0.55,0.23,1.42,13.0,308.0,Belveth,90,13714,0.55,0.46,3.26,26.0,166.0,Yone,473,50790,-1.0,0.0,0.0,0.0,-1.0,Jinx,384,28274,0.59,0.33,1.77,3.0,189.0,Karma,144,13369,0.43,0.67,3.18,3.0,56.0,Irelia,Pantheon,Kennen,Seraphine,Brand,0
56,Gangplank,100,5520,0.67,0.71,4.05,7.0,67.0,Khazix,252,432037,0.51,0.61,2.91,93.0,171.0,Annie,55,95852,0.52,0.52,3.12,95.0,69.0,Ezreal,326,89139,0.51,0.75,2.11,8.0,423.0,Pantheon,346,136112,0.49,0.65,2.07,71.0,493.0,Urgot,Belveth,Anivia,Caitlyn,Senna,1
57,Gwen,100,3916,0.67,0.83,2.78,6.0,67.0,Belveth,90,13714,0.55,0.46,3.26,26.0,166.0,Zilean,326,30982,0.51,0.53,2.99,17.0,423.0,Lucian,208,50613,0.49,0.5,2.64,12.0,379.0,Nami,339,635178,0.58,0.68,4.85,37.0,264.0,Aatrox,Graves,Anivia,Seraphine,Pantheon,1
58,TahmKench,317,1249943,0.5,0.52,2.3,190.0,248.0,JarvanIV,397,87505,0.52,0.56,4.19,54.0,131.0,Syndra,407,60634,0.5,0.47,2.49,87.0,596.0,Ashe,286,88744,0.51,0.47,2.82,19.0,350.0,Zyra,447,300652,0.52,0.58,2.64,158.0,437.0,Gwen,Diana,Talon,Ezreal,Yuumi,0
59,Vladimir,542,15771,0.51,0.33,1.55,3.0,471.0,LeeSin,372,109186,0.54,0.63,3.48,16.0,296.0,Zed,416,864927,0.5,0.57,2.66,242.0,321.0,Zeri,213,11149,0.66,0.77,6.19,13.0,129.0,Sona,150,28098,0.5,0.6,3.2,40.0,1214.0,Fiora,Diana,Azir,Jhin,MissFortune,1
60,Ornn,212,155383,0.66,0.67,2.13,3.0,129.0,Evelynn,211,64260,0.52,0.33,2.68,3.0,50.0,Teemo,549,1111714,0.51,0.49,2.25,337.0,833.0,Sivir,263,266998,0.5,0.35,1.88,29.0,509.0,Yuumi,821,350572,0.52,0.59,5.57,101.0,797.0,Camille,FiddleSticks,Viktor,Tristana,Janna,0
61,MonkeyKing,395,78318,0.5,0.54,2.32,127.0,912.0,Belveth,49,11126,0.53,0.5,2.83,20.0,159.0,Orianna,99,8788,0.51,0.2,1.94,5.0,167.0,Aphelios,326,63242,0.49,0.33,2.81,9.0,409.0,Yuumi,595,196657,0.53,0.54,5.36,24.0,160.0,Jax,Rengar,Zeri,Jinx,Lulu,0
62,MonkeyKing,378,540276,0.51,0.58,2.75,347.0,1093.0,Belveth,277,3473,0.49,0.0,0.67,1.0,83.0,Azir,99,5250,0.51,0.2,2.19,5.0,167.0,Sivir,326,140648,0.49,0.59,3.11,22.0,409.0,Nami,595,307052,0.53,0.56,4.03,78.0,160.0,Fiora,Graves,Zeri,MissFortune,Renata,0
63,Aatrox,515,96678,0.48,0.61,1.81,54.0,210.0,Kayn,398,101254,0.53,0.0,0.71,1.0,214.0,Lux,61,48811,0.5,0.57,4.06,54.0,408.0,Caitlyn,482,41419,-1.0,0.0,0.0,0.0,-1.0,Morgana,467,33981,0.5,0.54,2.73,13.0,341.0,Gangplank,FiddleSticks,Zeri,Ashe,Soraka,0
64,Trundle,189,33708,0.53,0.71,3.35,7.0,179.0,MasterYi,748,92555,0.5,0.64,2.72,22.0,504.0,Ahri,161,27661,0.47,0.42,1.78,19.0,421.0,Draven,51,70606,0.53,0.56,2.53,108.0,314.0,Nautilus,211,12658,0.66,0.33,3.73,3.0,129.0,Malphite,Kindred,Yorick,Kaisa,Seraphine,0
65,Gangplank,129,9741,0.51,0.0,1.0,2.0,402.0,Nunu,597,262504,0.51,0.61,3.48,59.0,458.0,Veigar,281,20820,0.51,0.44,2.18,9.0,515.0,Draven,359,1400363,0.54,0.56,2.26,431.0,449.0,Leona,211,9990,0.66,0.5,3.73,2.0,129.0,Gwen,Evelynn,Darius,Kaisa,Zilean,0
66,Illaoi,196,1135023,0.55,0.56,1.2,277.0,276.0,Khazix,832,341901,0.49,0.4,2.54,38.0,1248.0,Zeri,281,13247,0.51,0.71,2.86,17.0,515.0,Jhin,596,173653,0.51,0.57,3.25,136.0,458.0,Pyke,211,56363,0.66,0.9,6.79,20.0,129.0,Akali,RekSai,Taliyah,Ezreal,Morgana,1
67,Garen,229,166111,0.61,0.78,2.37,27.0,133.0,Kayn,484,924751,0.59,0.62,3.11,143.0,175.0,Zeri,281,13247,0.51,0.71,2.86,17.0,515.0,Sivir,155,2609,0.53,0.67,2.82,3.0,517.0,Pyke,211,56363,0.66,0.9,6.79,20.0,129.0,Shen,Evelynn,Yone,MissFortune,Nami,1
68,Garen,261,70818,0.46,0.62,2.55,21.0,260.0,Kayn,351,392843,0.53,0.59,2.87,266.0,444.0,Zeri,281,13247,0.51,0.71,2.86,17.0,515.0,Ashe,494,284697,0.5,0.51,2.87,73.0,253.0,Rakan,211,15168,0.66,0.8,5.42,5.0,129.0,Jax,Belveth,Seraphine,Jinx,Soraka,1
69,Chogath,333,8399,0.52,0.0,1.36,2.0,592.0,Khazix,186,959216,0.5,0.51,3.25,1212.0,1312.0,Yasuo,281,630918,0.49,0.44,1.77,54.0,142.0,Lucian,106,84219,0.5,0.51,2.26,146.0,1027.0,Taric,273,27403,0.54,0.4,2.95,5.0,129.0,Yone,Graves,TwistedFate,Kaisa,Pyke,0
70,Sett,398,394845,0.5,0.61,1.99,71.0,127.0,JarvanIV,241,106648,0.53,0.56,4.02,45.0,319.0,Katarina,446,1161723,0.49,0.51,2.63,348.0,462.0,Ezreal,211,54625,0.66,0.59,4.64,27.0,129.0,Bard,523,450749,0.53,0.55,3.97,120.0,342.0,Lillia,MasterYi,Cassiopeia,Yone,Nami,0
71,Gragas,241,5885,0.53,0.0,0.64,3.0,319.0,Diana,138,23596,0.52,0.5,1.63,14.0,515.0,Yasuo,62,279450,0.54,0.54,2.61,426.0,603.0,Ezreal,211,54625,0.66,0.59,4.64,27.0,129.0,Xerath,523,25329,0.53,0.25,2.38,8.0,342.0,Mordekaiser,Trundle,Annie,Tristana,Morgana,0
72,Shaco,186,378732,-1.0,0.0,0.0,0.0,-1.0,Warwick,422,6898,0.51,0.0,0.58,1.0,365.0,Katarina,154,182905,0.47,0.49,2.65,145.0,203.0,Sivir,194,68191,0.5,0.69,3.54,13.0,356.0,Bard,401,1984139,0.52,0.55,3.57,230.0,521.0,Rumble,LeeSin,Gangplank,Caitlyn,Morgana,0
73,Urgot,134,193274,0.5,0.58,2.3,12.0,34.0,Senna,273,273302,0.51,0.58,2.81,137.0,361.0,Yasuo,239,35215,0.5,0.33,1.13,15.0,948.0,Seraphine,280,24734,0.51,0.57,4.02,14.0,515.0,MonkeyKing,211,4733,0.66,1.0,16.0,1.0,129.0,Nasus,Graves,Vladimir,Jhin,Nami,1
74,Renekton,451,79575,0.51,0.55,1.85,110.0,461.0,Poppy,183,1328795,0.5,0.51,2.4,765.0,791.0,Seraphine,357,33668,0.51,0.64,3.32,33.0,684.0,Lucian,210,17069,0.66,0.88,4.04,8.0,129.0,Nami,231,36003,0.54,0.8,4.78,10.0,219.0,Volibear,MonkeyKing,Viktor,Ezreal,Morgana,1
75,Gangplank,296,35646,0.5,0.52,1.67,33.0,368.0,Ekko,274,574716,0.49,0.59,3.72,54.0,185.0,Kassadin,653,2199709,0.51,0.52,2.29,374.0,545.0,Illaoi,476,41936,0.53,0.0,0.69,3.0,554.0,Heimerdinger,265,8229,0.6,0.33,1.52,3.0,62.0,Garen,Warwick,Galio,Kaisa,Pyke,0
